item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel
Delta Sigma Pi Money Clip with Coat of Arms,Delta Sigma Pi money clip with coat of arms surrounded with Greek letters. A classic design with intricate details. Rhodium plated for a brilliant and lasting finish.,0304NK45FLC,A-001-DeltaSigmaPi,20,62,2013-03-03 16:37:07 PST,,y,1,,,11,,,,B00BOD8QSA,,,1,,,B00BOD8QSA,,,0,DEFAULT
Phi Kappa Tau Money Clip,This Phi Kappa Tau money clip with coat of arms is a classic design with intricate details. Rhodium plated for a brilliant and lasting finish. The perfect gift for your big/little bro or even yourself! Comes in a nice gift box!,0522NCEUI0O,A-001-PhiKappaTau,20,8,2013-05-21 17:25:19 PDT,,y,1,,,11,,,,B00CXBHA9S,,,1,,,B00CXBHA9S,,,0,DEFAULT
Tau Kappa Epsilon Money Clip,This Tau Kappa Epsilon money clip with coat of arms is a classic design with intricate details. Rhodium plated for a brilliant and lasting finish. The perfect gift for your big/little bro or even yourself! Comes in a nice gift box!,0522NCEWD5C,A-001-TauKappaEpsilon,25,9,2013-05-21 17:27:50 PDT,,y,1,,,11,,,,B00CXBIYOS,,,1,,,B00CXBIYOS,,,0,DEFAULT
Delta Sigma Pi Money Clip with Greek Letters,"Simple and clean design, with Delta Sigma Pi letters beautifully engraved in the center. Finished in rhodium for a brilliant and lasting shine. An elegant and classy accessory.",0304NK45K5I,A-002-DeltaSigmaPi,15,117,2013-03-03 16:37:08 PST,,y,1,,,11,,,,B00BOD8R20,,,1,,,B00BOD8R20,,,0,DEFAULT
Delta Sigma Pi Circular Cuff Links with Greek Letters,"Custom-made circular Delta Sigma Pi cufflinks. Engraved with greek letters, plated with rhodium and polished to a brilliant shine for an elegant and professional look!",0131OL7340C,A-003-DeltaSigmaPi,25,17,2014-01-31 14:55:44 PST,,y,1,,,11,,,,B00BOD8RBG,,,1,,,B00BOD8RBG,,,0,DEFAULT
Sigma Chi Circular Cuff Links with Greek Letters,"Custom-made circular Sigma Chi cufflinks. Engraved with greek letters, plated with rhodium and polished to a brilliant shine for an elegant and professional look!",0514OGQRAGO,A-003-SigmaChi,20,98,2014-05-14 16:47:37 PDT,,y,1,,,11,,,,B00KC8FXB6,,,1,,,B00KC8FXB6,,,0,DEFAULT
Tau Kappa Epsilon Circular Cuff Links with Greek Letters,"Custom-made circular Tau Kappa Epsilon cufflinks. Engraved with greek letters, plated with rhodium and polished to a brilliant shine for an elegant and professional look!",0514OGQR9CO,A-003-TauKappaEpsilon,20,4,2014-05-14 16:47:36 PDT,,y,1,,,11,,,,B00KC8FWVC,,,1,,,B00KC8FWVC,,,0,DEFAULT
Alpha Kappa Psi Tie Clip,"Simple and timeless design with Alpha Kappa Psi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Kappa Psi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",1001P7VRGOI,A-004-AlphaKappaPsi,20,50,2015-10-01 13:19:19 PDT,,y,1,,,11,,,,B0161VXY68,,,1,,,B0161VXY68,,,0,DEFAULT
Alpha Phi Omega Tie Clip,"Simple and timeless design with Alpha Phi Omega letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Phi Omega tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0403PZMIUQ0,A-004-AlphaPhiOmega,20,26,2015-04-03 16:54:59 PDT,,y,1,,,11,,,,B00VN63SYU,,,1,,,B00VN63SYU,,,0,DEFAULT
Alpha Psi Lambda Tie Clip,"Simple and timeless design with Alpha Psi Lambda letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Psi Lambda tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0403PZMT2M6,A-004-AlphaPsiLambda,20,4,2015-04-03 16:58:36 PDT,,y,1,,,11,,,,B00VN6B4KK,,,1,,,B00VN6B4KK,,,0,DEFAULT
"Alpha Sigma Phi Tie Clip with Black Enameled Greek Letters Fraternity, Greek ...","<p>A simple and timeless tie clip design with the Alpha Sigma Phi Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDIRICO,A-004-AlphaSigmaPhi,20,50,2016-02-19 13:59:46 PST,,y,1,,,11,,,,B01BZCFKO2,,,1,,,B01BZCFKO2,,,0,DEFAULT
Alpha Tau Omega Tie Clip,"Simple and timeless design with Alpha Tau Omega letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Tau Omega tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0510O1F48BU,A-004-AlphaTauOmega,20,7,2014-05-09 17:11:23 PDT,,y,1,,,11,,,,B00IGHUORS,,,1,,,B00IGHUORS,,,0,DEFAULT
Alpha Zeta Omega Tie Clip,"Simple and timeless design with Alpha Zeta Omega letters engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Alpha Zeta Omega tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU8ZF8C,A-004-AlphaZetaOmega,20,30,2015-05-05 18:57:15 PDT,,y,1,,,11,,,,B00X6QV2K2,,,1,,,B00X6QV2K2,,,0,DEFAULT
Beta Theta Pi Tie Clip,"Simple and timeless design with Beta Theta Pi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Beta Theta Pi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0404PZNUGAC,A-004-BetaThetaPi,20,16,2015-04-03 17:11:47 PDT,,y,1,,,11,,,,B00VN6S8G8,,,1,,,B00VN6S8G8,,,0,DEFAULT
Delta Chi Tie Clip,"Simple and timeless design with Delta Chi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Delta Chi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU8E466,A-004-DeltaChi,20,20,2015-05-05 18:50:21 PDT,,y,1,,,11,,,,B00X6QK94M,,,1,,,B00X6QK94M,,,0,DEFAULT
Delta Sigma Pi Tie Clip,"Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Delta Sigma Pi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",1223NB5OSV0,A-004-DeltaSigmaPi,20,3,2013-12-23 15:58:58 PST,,y,1,,,11,,,,B00BOD8RI4,,,1,,,B00BOD8RI4,,,0,DEFAULT
Delta Tau Delta Tie Clip,"Simple and timeless design with Delta Tau Delta letters engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Delta Tau Delta tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU9X72C,A-004-DeltaTauDelta,20,50,2015-05-05 19:05:14 PDT,,y,1,,,11,,,,B00X6R5KD6,,,1,,,B00X6R5KD6,,,0,DEFAULT
"Delta Upsilon Tie Clip with Black Enameled Greek Letters Fraternity, Greek Me...","<p>A simple and timeless tie clip design with the Delta Upsilon Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDIRIVU,A-004-DeltaUpsilon,20,50,2016-02-19 13:59:47 PST,,y,1,,,11,,,,B01BZCFLQ4,,,1,,,B01BZCFLQ4,,,0,DEFAULT
Kappa Alpha Tie Clip,"Simple and timeless design with Kappa Alpha letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Kappa Alpha tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0514OGQR596,A-004-KappaAlpha,20,6,2014-05-14 16:47:28 PDT,,y,1,,,11,,,,B00KC8FV04,,,1,,,B00KC8FV04,,,0,DEFAULT
Kappa Sigma Tie Clip,"Simple and timeless design with Kappa Sigma letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Kappa Sigma tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0510O1F3WEO,A-004-KappaSigma,20,20,2014-05-09 17:11:19 PDT,,y,1,,,11,,,,B00IGHXC4K,,,1,,,B00IGHXC4K,,,0,DEFAULT
Lambda Chi Alpha Tie Clip,"Simple and timeless design with Lambda Chi Alpha letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Lambda Chi Alpha tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0510O1F3NXO,A-004-LambdaChiAlpha,20,20,2014-05-09 17:11:16 PDT,,y,1,,,11,,,,B00IGHXYDY,,,1,,,B00IGHXYDY,,,0,DEFAULT
"Lambda Theta Phi Tie Clip with Black Enameled Greek Letters Fraternity, Greek...","<p>A simple and timeless tie clip design with the Lambda Theta Phi Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDJRN50,A-004-LambdaThetaPhi,20,50,2016-02-19 14:18:26 PST,,y,1,,,11,,,,B01BZDQ8N8,,,1,,,B01BZDQ8N8,,,0,DEFAULT
"Mu Phi Epsilon Tie Clip with Black Enameled Greek Letters Fraternity, Greek M...","<p>A simple and timeless tie clip design with the Mu Phi Epsilon Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDJRPAI,A-004-MuPhiEpsilon,20,50,2016-02-19 14:18:28 PST,,y,1,,,11,,,,B01BZDQB80,,,1,,,B01BZDQB80,,,0,DEFAULT
"Phi Beta Sigma Tie Clip with Black Enameled Greek Letters Fraternity, Greek M...","<p>A simple and timeless tie clip design with the Phi Beta Sigma Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDJRRG0,A-004-PhiBetaSigma,20,49,2016-02-19 14:18:29 PST,,y,1,,,11,,,,B01BZDQDQK,,,1,,,B01BZDQDQK,,,0,DEFAULT
"Phi Delta Epsilon Tie Clip with Black Enameled Greek Letters Fraternity, Gree...","<p>A simple and timeless tie clip design with the Phi Delta Epsilon Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDJRTY0,A-004-PhiDeltaEpsilon,20,50,2016-02-19 14:18:30 PST,,y,1,,,11,,,,B01BZDQG6W,,,1,,,B01BZDQG6W,,,0,DEFAULT
Phi Delta Theta Tie Clip,"Simple and timeless design with Phi Delta Theta letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Phi Delta Theta tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEUHAU,A-004-PhiDeltaTheta,20,2,2013-05-21 17:25:15 PDT,,y,1,,,11,,,,B00CXBH8OK,,,1,,,B00CXBH8OK,,,0,DEFAULT
Phi Gamma Delta (FIJI) Tie Clip,"Simple and timeless design with FIJI engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, FIJI tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU99XH0,A-004-PhiGammaDelta,20,26,2015-05-05 18:59:49 PDT,,y,1,,,11,,,,B00X6QYHQS,,,1,,,B00X6QYHQS,,,0,DEFAULT
Phi Kappa Sigma Tie Clip,"Simple and timeless design with Phi Kappa Sigma letters engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Phi Kappa Sigma tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU8QCH0,A-004-PhiKappaSigma,20,30,2015-05-05 18:54:52 PDT,,y,1,,,11,,,,B00X6QRDU0,,,1,,,B00X6QRDU0,,,0,DEFAULT
Phi Kappa Tau Tie Clip,"Simple and timeless design with Phi Kappa Tau letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Phi Kappa Tau tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0514OGQQVF0,A-004-PhiKappaTau,20,5,2014-05-14 16:47:19 PDT,,y,1,,,11,,,,B00KC8FSPM,,,1,,,B00KC8FSPM,,,0,DEFAULT
Pi Kappa Alpha Tie Clip,"Simple and timeless design with Pi Kappa Alpha letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Pi Kappa Alpha tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEUQG0,A-004-PiKappaAlpha,20,996,2013-05-21 17:26:08 PDT,,y,1,,,11,,,,B00CXBHUH0,,,1,,,B00CXBHUH0,,,0,DEFAULT
Pi Kappa Phi Tie Clip,"Simple and timeless design with Pi Kappa Phi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Pi Kappa Alpha tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0127P51DVBC,A-004-PiKappaPhi,20,23,2015-01-26 18:47:48 PST,,y,1,,,11,,,,B00SSLH0PG,,,1,,,B00SSLH0PG,,,0,DEFAULT
Sigma Alpha Epsilon Tie Clip,"Simple and timeless design with Sigma Alpha Epsilon letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Sigma Alpha Epsilon tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEUSE0,A-004-SigmaAlphaEpsilon,20,48,2013-05-21 17:26:14 PDT,,y,1,,,11,,,,B00CXBHX86,,,1,,,B00CXBHX86,,,0,DEFAULT
Sigma Chi Tie Clip,"Simple and timeless design with Sigma Chi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Sigma Chi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEUXUO,A-004-SigmaChi,20,40,2013-05-21 17:26:18 PDT,,y,1,,,11,,,,B00CXBHYPI,,,1,,,B00CXBHYPI,,,0,DEFAULT
Sigma Lambda Beta Tie Clip,"Simple and timeless design with Sigma Lambda Beta letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Sigma Lambda Beta tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0404PZO545I,A-004-SigmaLambdaBeta,20,21,2015-04-03 17:24:51 PDT,,y,1,,,11,,,,B00VN734WK,,,1,,,B00VN734WK,,,0,DEFAULT
Sigma Nu Tie Clip,"Simple and timeless design with Sigma Nu letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Sigma Nu tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEVQSC,A-004-SigmaNu,20,15,2013-05-21 17:27:01 PDT,,y,1,,,11,,,,B00CXBIG0U,,,1,,,B00CXBIG0U,,,0,DEFAULT
Sigma Phi Epsilon Tie Clip,"Simple and timeless design with Sigma Phi Epsilon letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Sigma Phi Epsilon tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEVRD6,A-004-SigmaPhiEpsilon,20,4,2013-05-21 17:27:04 PDT,,y,1,,,11,,,,B00CXBIHEA,,,1,,,B00CXBIHEA,,,0,DEFAULT
"Sigma Pi Tie Clip with Black Enameled Greek Letters Fraternity, Greek Mens Je...","<p>A simple and timeless tie clip design with the Sigma Pi Fraternity Greek letters in the center finished in bold black enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentleman's accessory.</p>  <p>Comes in a nice gift box, making it the perfect gift!</p>",0219QDJRVJI,A-004-SigmaPi,20,50,2016-02-19 14:18:31 PST,,y,1,,,11,,,,B01BZDQIBU,,,1,,,B01BZDQIBU,,,0,DEFAULT
Tau Kappa Epsilon Tie Clip,"Simple and timeless design with Tau Kappa Epsilon letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Tau Kappa Epsilon tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEWHQC,A-004-TauKappaEpsilon,20,99,2013-05-21 17:27:52 PDT,,y,1,,,11,,,,B00CXBIZ7E,,,1,,,B00CXBIZ7E,,,0,DEFAULT
Theta Chi Tie Clip,"Simple and timeless design with Theta Chi letters engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Theta Chi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0506PU9KUS6,A-004-ThetaChi,20,21,2015-05-05 19:02:24 PDT,,y,1,,,11,,,,B00X6R1OB8,,,1,,,B00X6R1OB8,,,0,DEFAULT
Sigma Theta Chi Tie-bar with Raised Black Enamel,"Simple and timeless design with Sigma Theta Chi letter engraved in the center. Rhodium plated for a lasting finish. An elegant piece to complete your professional attire. A true gentleman’s accessory, Sigma Theta Chi tie bar clip is designed exclusively for The Collegiate Standard. Comes in a nice gift box! Make it the perfect gift for your big or little bro!",0522NCEWXCU,A-005-SigmaThetaChi,20,20,2013-05-21 17:28:29 PDT,,y,1,,,11,,,,B00CXBJDSE,,,1,,,B00CXBJDSE,,,0,DEFAULT
Alpha Epsilon Pi Cuff Links (Gold-Plated),Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Alpha Epsilon Phi flag. Rhodium coated and polished to a brilliant shine.,0510O1F2BDC,A-006-AlphaEpsilonPi-GP,29,14,2014-05-09 17:11:08 PDT,,y,1,,,11,,,,B00IGI1PZM,,,1,,,B00IGI1PZM,,,0,DEFAULT
Alpha Kappa Psi Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Alpha Kappa Psi flag. Rhodium coated and polished to a brilliant shine.,1001P7VRU5I,A-006-AlphaKappaPsi,29,3,2015-10-01 13:19:23 PDT,,y,1,,,11,,,,B0161VY0H0,,,1,,,B0161VY0H0,,,0,DEFAULT
Alpha Tau Omega Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Alpha Tau Omega flag. Rhodium coated and polished to a brilliant shine.,0522NCEUWXC,A-006-AlphaTauOmega,29,13,2013-05-21 17:26:16 PDT,,y,1,,,11,,,,B00CXBHY4E,,,1,,,B00CXBHY4E,,,0,DEFAULT
Beta Theta Pi Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Beta Theta Pi flag. Rhodium coated and polished to a brilliant shine.,0522NCEV6RI,A-006-BetaThetaPi,29,2,2013-05-21 17:26:30 PDT,,y,1,,,11,,,,B00CXBI3OY,,,1,,,B00CXBI3OY,,,0,DEFAULT
Delta Sigma Pi Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Delta Sigma Pi flag. Rhodium coated and polished to a brilliant shine.,0510O1F248O,A-006-DeltaSigmaPi,29,10,2014-05-09 17:11:06 PDT,,y,1,,,11,,,,B00IGI2RSQ,,,1,,,B00IGI2RSQ,,,0,DEFAULT
Delta Tau Delta Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Delta Tau Delta flag. Rhodium coated and polished to a brilliant shine.,0514OGQQ6U0,A-006-DeltaTauDelta,29,49,2014-05-14 16:46:48 PDT,,y,1,,,11,,,,B00KC8FKVY,,,1,,,B00KC8FKVY,,,0,DEFAULT
Delta Upsilon Flag Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Delta Upsilon flag. Rhodium coated and polished to a brilliant shine.,0522NCEW6WC,A-006-DeltaUpsilon,29,10,2013-05-21 17:27:39 PDT,,y,1,,,11,,,,B00CXBIUGU,,,1,,,B00CXBIUGU,,,0,DEFAULT
Kappa Alpha Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Kappa Alpha Order flag. Rhodium coated and polished to a brilliant shine.,0522NCEWUK0,A-006-KappaAlphaOrder,29,11,2013-05-21 17:28:10 PDT,,y,1,,,11,,,,B00CXBJ92Y,,,1,,,B00CXBJ92Y,,,0,DEFAULT
Kappa Sigma Flag Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Kappa Sigma flag. Rhodium coated and polished to a brilliant shine.,0522NCEUF16,A-006-KappaSigma,29,47,2013-05-21 17:25:03 PDT,,y,1,,,11,,,,B00CXBH3OA,,,1,,,B00CXBH3OA,,,0,DEFAULT
Kappa Sigma Flag Cuff Links (Gold-Plated),Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Kappa Sigma flag. Rhodium coated and polished to a brilliant shine.,0522NCEUFAC,A-006-KappaSigma-GP,29,50,2013-05-21 17:25:06 PDT,,y,1,,,11,,,,B00CXBH4PI,,,1,,,B00CXBH4PI,,,0,DEFAULT
Lambda Chi Alpha Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Lambda Chi Alpha flag. Rhodium coated and polished to a brilliant shine.,0522NCEUGCO,A-006-LambdaChiAlpha,29,18,2013-05-21 17:25:11 PDT,,y,1,,,11,,,,B00CXBH6W4,,,1,,,B00CXBH6W4,,,0,DEFAULT
Lambda Chi Alpha Cuff Links (Gold-Plated),Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Lambda Chi Alpha flag. Rhodium coated and polished to a brilliant shine.,0522NCEUGRO,A-006-LambdaChiAlpha-GP,29,2,2013-05-21 17:25:12 PDT,,y,1,,,11,,,,B00CXBH7B4,,,1,,,B00CXBH7B4,,,0,DEFAULT
Masons Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official the Mason Square and Compass symbol. Rhodium coated and polished to a brilliant shine.,0510O1F1UM0,A-006-Masons,29,6,2014-05-09 17:11:03 PDT,,y,1,,,11,,,,B00IGI9LOY,,,1,,,B00IGI9LOY,,,0,DEFAULT
Phi Beta Sigma Cufflinks with Greek Letters and Royal Blue Enamel,"<p>A magnificent pair of Phi Beta Sigma cuff links. Designed with the Phi Beta Sigma Fraternity Greek letters in the center, surrounded royal blue enamel, and rhodium plated for a lasting shine. An elegant piece to complete your professional attire. A true gentlemanÕs accessory.</p> <p>Comes in a nice gift box, making it the perfect gift!</p>",0319QRD8F6U,A-006-PhiBetaSigma,29,50,2016-03-18 18:30:47 PDT,,y,1,,,11,,,,B01D5MKPBS,,,1,,,B01D5MKPBS,,,0,DEFAULT
Phi Delta Theta Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Phi Delta Theta flag. Rhodium coated and polished to a brilliant shine.,0522NCEUHIC,A-006-PhiDeltaTheta,29,5,2013-05-21 17:25:16 PDT,,y,1,,,11,,,,B00CXBH94O,,,1,,,B00CXBH94O,,,0,DEFAULT
Phi Gamma Delta Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Phi Gamma Delta flag. Rhodium coated and polished to a brilliant shine.,0514OGQPO8U,A-006-PhiGammaDelta,29,21,2014-05-14 16:46:28 PDT,,y,1,,,11,,,,B00KC8FF14,,,1,,,B00KC8FF14,,,0,DEFAULT
Phi Kappa Sigma Cuff Links (Gold-Plated),Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Phi Kappa Sigma flag. Rhodium coated and polished to a brilliant shine.,0510O1F1MZ0,A-006-PhiKappaSigma-GP,29,6,2014-05-09 17:10:59 PDT,,y,1,,,11,,,,B00IGIE8NI,,,1,,,B00IGIE8NI,,,0,DEFAULT
Phi Kappa Tau Cuff Links (Gold-Plated),Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Phi Kappa Tau flag. Rhodium coated and polished to a brilliant shine.,0522NCEUIAO,A-006-PhiKappaTau-GP,29,10,2013-05-21 17:25:21 PDT,,y,1,,,11,,,,B00CXBHAXE,,,1,,,B00CXBHAXE,,,0,DEFAULT
Pi Kappa Alpha Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Pi Kappa Alpha flag. Rhodium coated and polished to a brilliant shine.,0522NCEUR46,A-006-PiKappaAlpha,29,47,2013-05-21 17:26:09 PDT,,y,1,,,11,,,,B00CXBHV06,,,1,,,B00CXBHV06,,,0,DEFAULT
Pi Kappa Alpha Cuff Links (Gold-Plated),Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Pi Kappa Alpha flag. Rhodium coated and polished to a brilliant shine.,0522NCEUR96,A-006-PiKappaAlpha-GP,29,49,2013-05-21 17:26:10 PDT,,y,1,,,11,,,,B00CXBHVHE,,,1,,,B00CXBHVHE,,,0,DEFAULT
Sigma Alpha Epsilon Cuff Links,Beautiful craftsmanship with intricate enamel work using a high-heat hard enameling process which ensures a smooth finish and longevity. Inspired by the official Sigma Alpha Epsilon flag. Rhodium coated and polished to a brilliant shine.,0522NCEUSOU,A-006-SigmaAlphaEpsilon,29,14,2013-05-21 17:26:15 PDT,,y,1,,,11,,,,B00CXBHXMC,,,1,,,B00CXBHXMC,,,0,DEFAULT
